Notes,State,State Code,Five-Year Age Groups,Five-Year Age Groups Code,Ethnicity,Gender,Gender Code,Year,Year Code,Deaths,Population,Crude Rate
,California,6,45-49 years,45-49,Hispanic,Male,M,2009,2009,Suppressed,418647,Suppressed
,California,6,45-49 years,45-49,Hispanic,Male,M,2010,2010,Suppressed,428489,Suppressed
,California,6,45-49 years,45-49,Hispanic,Male,M,2011,2011,Suppressed,445762,Suppressed
,California,6,45-49 years,45-49,Hispanic,Male,M,2012,2012,Suppressed,454782,Suppressed
,California,6,45-49 years,45-49,Hispanic,Male,M,2013,2013,Suppressed,467834,Suppressed
,California,6,45-49 years,45-49,Hispanic,Male,M,2014,2014,Suppressed,483295,Suppressed
,California,6,45-49 years,45-49,Hispanic,Male,M,2015,2015,Suppressed,495096,Suppressed
,California,6,45-49 years,45-49,Hispanic,Male,M,2016,2016,Suppressed,496759,Suppressed
,California,6,45-49 years,45-49,Hispanic,Male,M,2017,2017,Suppressed,501648,Suppressed
,California,6,45-49 years,45-49,Hispanic,Male,M,2018,2018,Suppressed,498377,Suppressed
Total,California,6,45-49 years,45-49,Hispanic,Male,M,,,13,7970274,Unreliable
Total,California,6,45-49 years,45-49,Hispanic,,,,,13,7970274,Unreliable
,California,6,50-54 years,50-54,Hispanic,Male,M,1999,1999,Suppressed,178810,Suppressed
,California,6,50-54 years,50-54,Hispanic,Male,M,2000,2000,Suppressed,189131,Suppressed
,California,6,50-54 years,50-54,Hispanic,Male,M,2001,2001,Suppressed,207522,Suppressed
,California,6,50-54 years,50-54,Hispanic,Male,M,2002,2002,Suppressed,219725,Suppressed
,California,6,50-54 years,50-54,Hispanic,Male,M,2003,2003,Suppressed,233136,Suppressed
,California,6,50-54 years,50-54,Hispanic,Male,M,2004,2004,Suppressed,247870,Suppressed
,California,6,50-54 years,50-54,Hispanic,Male,M,2005,2005,Suppressed,264089,Suppressed
,California,6,50-54 years,50-54,Hispanic,Male,M,2006,2006,Suppressed,278972,Suppressed
,California,6,50-54 years,50-54,Hispanic,Male,M,2007,2007,Suppressed,295192,Suppressed
,California,6,50-54 years,50-54,Hispanic,Male,M,2008,2008,Suppressed,312395,Suppressed
,California,6,50-54 years,50-54,Hispanic,Male,M,2009,2009,Suppressed,328866,Suppressed
